##stellar mass, haloMass/stellarMass, haloMass/stellarMassUncertainty
1000000000.0000000 162.5843200 26.3371960
1930697728.8832536 107.7276863 23.8704761
3727593720.3149381 100.3629896 21.6549553
7196856730.0115290 119.2260172 19.7128987
13894954943.7313595 71.4723235 18.1706310
26826957952.7972717 134.0508718 17.4708165
51794746792.3120193 100.4529657 18.8465586
100000000000.0000000 166.4875115 24.7334802
193069772888.3245544 159.3425026 38.4952128
372759372031.4937744 279.5980808 64.9177341
719685673001.1528320 657.8610441 112.3955435
1389495494373.1359863 1489.5990957 196.0608417
2682695795279.7275391 1585.8615470 342.7052818
5179474679231.2021484 2267.4475961 599.3632034
10000000000000.0000000 5677.5251577 1048.3918652
